,Harvest 11/05/2025,,,
,Strain,Harvest ,Batch,Grams
,Black Maple,11/05/2025,251105-BLM,1192
,,11/05/2025,251105-BLM,1536
,,11/05/2025,251105-BLM,1096
,,11/05/2025,251105-BLM,1188
,,11/05/2025,251105-BLM,1008
,,11/05/2025,251105-BLM,1258
,Magic Marker,11/05/2025,251105-MGM,680
,,11/05/2025,251105-MGM,1108
,,11/05/2025,251105-MGM,650
,,11/05/2025,251105-MGM,1219
,,11/05/2025,251105-MGM,1180
,,11/05/2025,251105-MGM,1152
,,11/05/2025,251105-MGM,1160
,Smackles,11/05/2025,251105-SMA,832
,,11/05/2025,251105-SMA,472
,,11/05/2025,251105-SMA,838
,,11/05/2025,251105-SMA,544
,,11/05/2025,251105-SMA,1902
,Animal Tsunami,11/05/2025,251105-ASU,1662
,,11/05/2025,251105-ASU,1024
,,11/05/2025,251105-ASU,1156
,,11/05/2025,251105-ASU,1118
,,11/05/2025,251105-ASU,1096
,,11/05/2025,251105-ASU,1160
,Dog Walker,11/05/2025,251105-DOG,1158
,,11/05/2025,251105-DOG,814
,,11/05/2025,251105-DOG,1312
,,11/05/2025,251105-DOG,1346
,,11/05/2025,251105-DOG,630
,,11/05/2025,251105-DOG,1300
,,11/05/2025,251105-DOG,1232
,,11/05/2025,251105-DOG,394
,,11/05/2025,251105-DOG,1226
,,11/05/2025,251105-DOG,732
,,11/05/2025,251105-DOG,988
,Swamp Water Fumez,11/05/2025,251105-SWF,1844
,,11/05/2025,251105-SWF,1046
,,11/05/2025,251105-SWF,1384
,,11/05/2025,251105-SWF,616
,Cap Junky,11/05/2025,251105-GAS,676
,,11/05/2025,251105-GAS,1186
,,11/05/2025,251105-GAS,730
,Gas Face,11/05/2025,251105-GAS,1166
,,11/05/2025,251105-GAS,1008
,,11/05/2025,251105-GAS,1504
,Silver Marker,11/05/2025,251105-SSM,874
,,11/05/2025,251105-SSM,1258
,,11/05/2025,251105-SSM,1846
,,11/05/2025,251105-SSM,1712
,,11/05/2025,251105-SSM,1436
,Trillonz,11/05/2025,251105-TIZ,1612
,,11/05/2025,251105-TIZ,1330
,,11/05/2025,251105-TIZ,1310
,,11/05/2025,251105-TIZ,1538